Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
Lighting Room\‎08. Keypads,/area/87726
Lighting Room\‎09. Keypads Press and Hold,/area/189195
Lighting Room\‎10. Virtual Keypads,/area/189205

Shade Group Name,href
Ground Floor\‎Entrance Hall\‎Entrance Hall,/zone/2024
Ground Floor\‎Entrance Hall\‎Front Window 1,/zone/205321
Ground Floor\‎Entrance Hall\‎Front Window 2,/zone/205342
Ground Floor\‎Entrance Hall\‎Front Window 3,/zone/205363
Ground Floor\‎Entrance Hall\‎Front Window 4,/zone/205384
Ground Floor\‎Entrance Hall\‎Front Window 5,/zone/205405
Ground Floor\‎Entrance Hall\‎Front Window 6,/zone/205426
"Ground Floor\‎Shading Room\‎A, Windows Blackout",/zone/66376
"Ground Floor\‎Shading Room\‎B, Windows Sheer",/zone/66581
"Ground Floor\‎Shading Room\‎C, Windows Curtain",/zone/66685
"Ground Floor\‎Shading Room\‎D, Small Curtain",/zone/66731
"Ground Floor\‎Shading Room\‎G, Coffee Roman",/zone/66777
"Ground Floor\‎Shading Room\‎E, Large Curtain",/zone/66823
"Ground Floor\‎Shading Room\‎H, Keypad Roller",/zone/66869
"Ground Floor\‎Shading Room\‎F, WC Roller",/zone/68988
"Ground Floor\‎Shading Room\‎G, Venetian By Coffee Machine",/zone/198704
Ground Floor\‎Shading Room\‎Roller By Boardroom,/zone/206157
Basement\‎Kitchen and Sitting Room\‎Right Window,/zone/2117
Basement\‎Kitchen and Sitting Room\‎Left Window,/zone/2165
Basement\‎Cinema\‎Cinema Curtain Left,/zone/2210
Basement\‎Cinema\‎Cinema Curtain Right,/zone/2258
Lighting Room\‎01. Roller Wall\‎4 Panel Roller,/zone/86949
Lighting Room\‎02. Windows Wall\‎Roller Left,/zone/51259
Lighting Room\‎02. Windows Wall\‎Roman Right,/zone/51349
Lighting Room\‎02. Windows Wall\‎Roller Right,/zone/51394
Lighting Room\‎02. Windows Wall\‎Roman Left,/zone/51439

Area Scene Name,href
Ground Floor\‎Lutron Headend\‎Off Scene,/areascene/586
Ground Floor\‎Lutron Headend\‎8 AM Scene,/areascene/589
Ground Floor\‎Lutron Headend\‎Scene 002,/areascene/592
Ground Floor\‎Lutron Headend\‎Scene 003,/areascene/595
Ground Floor\‎Lutron Headend\‎Scene 004,/areascene/598
Ground Floor\‎Entrance Hall\‎Off Scene,/areascene/5696
Ground Floor\‎Entrance Hall\‎Day,/areascene/5699
Ground Floor\‎Entrance Hall\‎Entertain,/areascene/5702
Ground Floor\‎Entrance Hall\‎Night,/areascene/5705
Ground Floor\‎Entrance Hall\‎Relax,/areascene/5708
Ground Floor\‎Virtual Modules\‎Off Scene,/areascene/138500
Ground Floor\‎Virtual Modules\‎Scene 001,/areascene/138503
Ground Floor\‎Virtual Modules\‎Scene 002,/areascene/138506
Ground Floor\‎Virtual Modules\‎Scene 003,/areascene/138509
Ground Floor\‎Virtual Modules\‎Scene 004,/areascene/138512
Ground Floor\‎Board Room\‎Off Scene,/areascene/147555
Ground Floor\‎Board Room\‎Day,/areascene/147558
Ground Floor\‎Board Room\‎Entertain,/areascene/147561
Ground Floor\‎Board Room\‎Night,/areascene/147564
Ground Floor\‎Board Room\‎Relax,/areascene/147567
Ground Floor\‎Hallway\‎Off Scene,/areascene/147575
Ground Floor\‎Hallway\‎Day,/areascene/147578
Ground Floor\‎Hallway\‎Entertain,/areascene/147581
Ground Floor\‎Hallway\‎Night,/areascene/147584
Ground Floor\‎Hallway\‎Relax,/areascene/147587
Ground Floor\‎W/C\‎Off Scene,/areascene/147732
Ground Floor\‎W/C\‎On,/areascene/147735
Ground Floor\‎W/C\‎Scene 002,/areascene/147738
Ground Floor\‎W/C\‎Scene 003,/areascene/147741
Ground Floor\‎W/C\‎Scene 004,/areascene/147744
Ground Floor\‎Shading Room\‎Off Scene,/areascene/69313
Ground Floor\‎Shading Room\‎Day,/areascene/69316
Ground Floor\‎Shading Room\‎Entertain,/areascene/69319
Ground Floor\‎Shading Room\‎Night,/areascene/69322
Ground Floor\‎Shading Room\‎Relax,/areascene/69325
Ground Floor\‎Keypad Cupboard\‎Off Scene,/areascene/80032
Ground Floor\‎Keypad Cupboard\‎Scene 001,/areascene/80035
Ground Floor\‎Keypad Cupboard\‎Scene 002,/areascene/80038
Ground Floor\‎Keypad Cupboard\‎Scene 003,/areascene/80041
Ground Floor\‎Keypad Cupboard\‎Scene 004,/areascene/80044
Ground Floor\‎Rack Build\‎Off Scene,/areascene/213755
Ground Floor\‎Rack Build\‎On,/areascene/213756
Ground Floor\‎Rack Build\‎Scene 002,/areascene/213757
Ground Floor\‎Rack Build\‎Scene 003,/areascene/213758
Ground Floor\‎Rack Build\‎Scene 004,/areascene/213759
Basement\‎Reception\‎Off Scene,/areascene/705
Basement\‎Reception\‎Day,/areascene/708
Basement\‎Reception\‎Entertain,/areascene/711
Basement\‎Reception\‎Night,/areascene/714
Basement\‎Reception\‎Relax,/areascene/717
Basement\‎Cloakroom\‎Off Scene,/areascene/2426
Basement\‎Cloakroom\‎Day,/areascene/2429
Basement\‎Cloakroom\‎Entertain,/areascene/2432
Basement\‎Cloakroom\‎Night,/areascene/2435
Basement\‎Cloakroom\‎Relax,/areascene/2438
Basement\‎W/C Female\‎Off Scene,/areascene/820
Basement\‎W/C Female\‎On,/areascene/823
Basement\‎W/C Female\‎Scene 002,/areascene/826
Basement\‎W/C Female\‎Scene 003,/areascene/829
Basement\‎W/C Female\‎Scene 004,/areascene/832
Basement\‎W/C Male\‎Off Scene,/areascene/794
Basement\‎W/C Male\‎On,/areascene/797
Basement\‎W/C Male\‎Scene 002,/areascene/800
Basement\‎W/C Male\‎Scene 003,/areascene/803
Basement\‎W/C Male\‎Scene 004,/areascene/806
Basement\‎Den\‎Off Scene,/areascene/728
Basement\‎Den\‎Day,/areascene/731
Basement\‎Den\‎Entertain,/areascene/734
Basement\‎Den\‎Night,/areascene/737
Basement\‎Den\‎Relax,/areascene/740
Basement\‎Kitchen and Sitting Room\‎Off Scene,/areascene/682
Basement\‎Kitchen and Sitting Room\‎Day,/areascene/685
Basement\‎Kitchen and Sitting Room\‎Entertain,/areascene/688
Basement\‎Kitchen and Sitting Room\‎Night,/areascene/691
Basement\‎Kitchen and Sitting Room\‎Relax,/areascene/694
Basement\‎Kitchen and Sitting Room\‎Roller Open,/areascene/212576
Basement\‎Games Room\‎Off Scene,/areascene/751
Basement\‎Games Room\‎Day,/areascene/754
Basement\‎Games Room\‎Entertain,/areascene/757
Basement\‎Games Room\‎Night,/areascene/760
Basement\‎Games Room\‎Relax,/areascene/763
Basement\‎Cinema\‎Off Scene,/areascene/774
Basement\‎Cinema\‎Day,/areascene/777
Basement\‎Cinema\‎Entertain,/areascene/780
Basement\‎Cinema\‎Night,/areascene/783
Basement\‎Cinema\‎Relax,/areascene/786
Lighting Room Keypads\‎Off Scene,/areascene/20498
Lighting Room Keypads\‎Scene 001,/areascene/20501
Lighting Room Keypads\‎Scene 002,/areascene/20504
Lighting Room Keypads\‎Scene 003,/areascene/20507
Lighting Room Keypads\‎Scene 004,/areascene/20510
Lighting Room\‎05. Ceiling Set\‎Off Scene,/areascene/62623
Lighting Room\‎05. Ceiling Set\‎Scene 001,/areascene/62626
Lighting Room\‎05. Ceiling Set\‎Scene 002,/areascene/62629
Lighting Room\‎05. Ceiling Set\‎Scene 003,/areascene/62632
Lighting Room\‎05. Ceiling Set\‎Scene 004,/areascene/62635
Lighting Room\‎06. Coffer\‎Off Scene,/areascene/62643
Lighting Room\‎06. Coffer\‎Scene 001,/areascene/62646
Lighting Room\‎06. Coffer\‎Scene 002,/areascene/62649
Lighting Room\‎06. Coffer\‎Scene 003,/areascene/62652
Lighting Room\‎06. Coffer\‎Scene 004,/areascene/62655
Lighting Room\‎04. Green Wall\‎Off Scene,/areascene/62669
Lighting Room\‎04. Green Wall\‎Scene 001,/areascene/62672
Lighting Room\‎04. Green Wall\‎Scene 002,/areascene/62675
Lighting Room\‎04. Green Wall\‎Scene 003,/areascene/62678
Lighting Room\‎04. Green Wall\‎Scene 004,/areascene/62681
Lighting Room\‎01. Roller Wall\‎Off Scene,/areascene/62692
Lighting Room\‎01. Roller Wall\‎Scene 001,/areascene/62695
Lighting Room\‎01. Roller Wall\‎Scene 002,/areascene/62698
Lighting Room\‎01. Roller Wall\‎Scene 003,/areascene/62701
Lighting Room\‎01. Roller Wall\‎Scene 004,/areascene/62704
Lighting Room\‎03. TV Wall\‎Off Scene,/areascene/62712
Lighting Room\‎03. TV Wall\‎Scene 001,/areascene/62715
Lighting Room\‎03. TV Wall\‎Scene 002,/areascene/62718
Lighting Room\‎03. TV Wall\‎Scene 003,/areascene/62721
Lighting Room\‎03. TV Wall\‎Scene 004,/areascene/62724
Lighting Room\‎02. Windows Wall\‎Off Scene,/areascene/62738
Lighting Room\‎02. Windows Wall\‎Scene 001,/areascene/62741
Lighting Room\‎02. Windows Wall\‎Scene 002,/areascene/62744
Lighting Room\‎02. Windows Wall\‎Scene 003,/areascene/62747
Lighting Room\‎02. Windows Wall\‎Scene 004,/areascene/62750
Lighting Room\‎07. Table\‎Off Scene,/areascene/63024
Lighting Room\‎07. Table\‎Scene 001,/areascene/63027
Lighting Room\‎07. Table\‎Scene 002,/areascene/63030
Lighting Room\‎07. Table\‎Scene 003,/areascene/63033
Lighting Room\‎07. Table\‎Scene 004,/areascene/63036
Lighting Room\‎11. Spare\‎Off Scene,/areascene/63247
Lighting Room\‎11. Spare\‎Scene 001,/areascene/63250
Lighting Room\‎11. Spare\‎Scene 002,/areascene/63253
Lighting Room\‎11. Spare\‎Scene 003,/areascene/63256
Lighting Room\‎11. Spare\‎Scene 004,/areascene/63259
Lighting Room\‎08. Keypads\‎Off Scene,/areascene/87730
Lighting Room\‎08. Keypads\‎Scene 001,/areascene/87733
Lighting Room\‎08. Keypads\‎Scene 002,/areascene/87736
Lighting Room\‎08. Keypads\‎Scene 003,/areascene/87739
Lighting Room\‎08. Keypads\‎Scene 004,/areascene/87742
Lighting Room\‎09. Keypads Press and Hold\‎Off Scene,/areascene/189199
Lighting Room\‎09. Keypads Press and Hold\‎Scene 001,/areascene/189200
Lighting Room\‎09. Keypads Press and Hold\‎Scene 002,/areascene/189201
Lighting Room\‎09. Keypads Press and Hold\‎Scene 003,/areascene/189202
Lighting Room\‎09. Keypads Press and Hold\‎Scene 004,/areascene/189203
Lighting Room\‎10. Virtual Keypads\‎Off Scene,/areascene/189209
Lighting Room\‎10. Virtual Keypads\‎Scene 001,/areascene/189210
Lighting Room\‎10. Virtual Keypads\‎Scene 002,/areascene/189211
Lighting Room\‎10. Virtual Keypads\‎Scene 003,/areascene/189212
Lighting Room\‎10. Virtual Keypads\‎Scene 004,/areascene/189213


"Lutron Electronics Co., Inc.
7200 Suter Road
Coopersburg, PA 18036, USA
+1.610.282.3800 | Fax: +1.610.282.1146"
